加热玻璃的控制0x42,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,ควบคุมการให้ความร้อนของแก้ว 0x42,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
加热玻璃控制,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การควบคุมการอุ่นแก้ว,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节状态+1字节保留,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,สถานะ 1 ไบต์ + สำรอง 1 ไบต์,2 ไบต์
,0xEE,0x01,设备地址,0x42,0x0002,状态：0关闭，1：打开,crc16,,,0xEE,0x01,ที่อยู่ของอุปกรณ์,0x42,0x0002,"สถานะ: 0 ปิด, 1: เปิด",crc16
下位机响应,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การตอบสนองของอุปกรณ์รอง,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节状态,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,สถานะ 1 ไบต์ + สำรอง 1 ไบต์,2 ไบต์
,0xFF,0x01,设备地址,0x42,0x0001,"
0x00:成功
0x01:失败
",crc16,,,0xFF,0x01,ที่อยู่ของอุปกรณ์,0x42,0x0001,"0x00: สำเร็จ
0x01: ล้มเหลว",crc16
,,,,,,,,,,,,,,,,
LED灯的控制0x43,,,,,,,,,การควบคุมไฟ LED 0x43,,,,,,,
LED控制,开始标志,版本号,设备地址,指令,数据长度,数据内容,校验码,,การควบคุม LED,เครื่องหมายเริ่มต้น,หมายเลขเวอร์ชัน,ที่อยู่ของอุปกรณ์,คำสั่ง,ความยาวของข้อมูล,เนื้อหาข้อมูล,รหัสตรวจสอบ
,1字节,1字节,4字节,1字节,2字节,1字节哪个灯+1字节状态,2字节,,,1 ไบต์,1 ไบต์,4 ไบต์,1 ไบต์,2 ไบต์,1 ไบต์ ไฟไหน + 1 ไบต์ สถานะ,2 ไบต์
